Track,Album Name,Artist,Release Date,All Time Rank,Track Score,Spotify Streams,Spotify Playlist Count,Spotify Playlist Reach,Spotify Popularity,YouTube Views,YouTube Likes,TikTok Posts,TikTok Likes,TikTok Views
"Sooseki (From ""Pushpa 2 The Rule"") [TELUGU]","Sooseki (From ""Pushpa 2 The Rule"") [TELUGU]",Shreya Ghoshal,2024-05-29,137,129.1,2827545,62,1433870,63.50158061116965,54330074,801621,0,0,0
vampire,vampire,Olivia Rodrigo,2023-06-30,138,128.9,998964097,90793,87801398,18.0,113450524,2108657,394640,152624014,1448207880
Casca de Bala,A Cara das Vaquejadas 3.0,Thullio Milionï¿½ï¿,2024-03-01,139,128.5,37157630,2052,30387641,74.0,63418833,427441,1600000,853176,8850449
Back,Back,LOLA,2022-08-03,140,128.0,48428,92,15747,3.0,2123978358,5670850,111,102828,735317
People,People - Single,Libianca,2022-12-05,141,127.8,631955547,121823,45030006,74.0,305998382,2647341,3168854,243797561,3233505931
Jedag Jedug Capcut 2024,Jedag Jedug Capcut 2024,Afrian Af,2024-01-05,142,127.4,0,1,47,63.50158061116965,0,0,3528100,37591836,688302023
Lady Killers II (Christoph Andersson Remix),Lady Killers II (Christoph Andersson Remix),G-Eazy,2024-03-17,143,127.3,94635338,10537,11716074,63.50158061116965,944314,17943,1300000,182937084,1542242100
I Don't Wanna Wait,I Don't Wanna Wait,David Guetta,2024-04-05,144,126.9,114574238,10564,180987712,84.0,9134225,124326,299000,4419373,79796400
Abc,Abc,J Ross,2023-02-14,145,126.6,31867,5,5100,1.0,1538564650,2066653,0,0,0
La Bachata,La Bachata,Manuel Turizo,2022-05-26,146,126.2,1721045197,156941,97122096,81.0,798827877,3379928,1614275,209367923,2596777974
ýýýýýýýýýýýýýýýýýýýýý,ýýýýýýýýýýýýýýýýýýýýý,FLI:P,2023-04-07,147,125.4,8028757,1972,488653,44.0,48533758,399664,8800000,256186613,3985974550
Peaches (feat. Daniel Caesar & Giveon),Justice,Justin Bieber,2021-03-19,148,125.2,1612286123,282719,97390961,74.0,1019256266,10280320,1404274,502778982,4702037810
Don't Start Now,Don't Start Now,Dua Lipa,2019-10-31,149,124.6,2607121959,270230,143953432,78.0,1201600884,10239198,4725570,414013363,3535661993
Lucid Dreams,Lucid Dreams,Juice WRLD,2018-05-04,150,123.9,2548389305,339306,75858140,78.0,987143411,9384427,1900813,44442433,338071383
PROVENZA,PROVENZA,KAROL G,2022-04-22,151,123.8,1185929926,103026,64847502,76.0,1229843060,5870729,1300337,251445963,2829294043
WAP (feat. Megan Thee Stallion),WAP (feat. Megan Thee Stallion),Cardi B,2020-08-07,152,123.4,1325725696,171255,53040559,72.0,1329826741,15965491,8470921,1183499351,9539547626
SPOT!,SPOT!,ZICO,2024-04-26,153,122.8,77757035,3407,35428519,81.0,100148771,2531168,99900,46645177,366905484
Family Matters,Family Matters,Drake,2024-05-03,154,122.7,72335127,8696,36774031,86.0,41492122,1034563,0,0,0
Again,Missing,Kurochuu,2024-06-09,155,122.5,136237285,2,2190,2.0,0,0,0,0,0
